seed,participant,semantic_source,control,top1_accuracy
17,sub-06,cornet-s,shuffled_training_pairs_seed_307,0.005
17,sub-06,dinov2,random_ranking,0.01
17,sub-06,dinov2,shuffled_eeg_rows,0.0
17,sub-06,dinov2,permuted_candidate_rows,0.005
17,sub-06,dinov2,permuted_labels,0.005
17,sub-06,dinov2,permuted_stimulus_ids,0.0
17,sub-06,dinov2,permuted_category_names,0.005
17,sub-06,dinov2,shuffled_training_pairs_seed_101,0.005
17,sub-06,dinov2,shuffled_training_pairs_seed_211,0.0
17,sub-06,dinov2,shuffled_training_pairs_seed_307,0.0
17,sub-07,cornet-s,random_ranking,0.0
17,sub-07,cornet-s,shuffled_eeg_rows,0.005
17,sub-07,cornet-s,permuted_candidate_rows,0.005
17,sub-07,cornet-s,permuted_labels,0.005
17,sub-07,cornet-s,permuted_stimulus_ids,0.0
17,sub-07,cornet-s,permuted_category_names,0.015
17,sub-07,cornet-s,shuffled_training_pairs_seed_101,0.005
17,sub-07,cornet-s,shuffled_training_pairs_seed_211,0.01
17,sub-07,cornet-s,shuffled_training_pairs_seed_307,0.015
17,sub-07,dinov2,random_ranking,0.0
17,sub-07,dinov2,shuffled_eeg_rows,0.005
17,sub-07,dinov2,permuted_candidate_rows,0.01
17,sub-07,dinov2,permuted_labels,0.0
17,sub-07,dinov2,permuted_stimulus_ids,0.0
17,sub-07,dinov2,permuted_category_names,0.005
17,sub-07,dinov2,shuffled_training_pairs_seed_101,0.005
17,sub-07,dinov2,shuffled_training_pairs_seed_211,0.005
17,sub-07,dinov2,shuffled_training_pairs_seed_307,0.02
17,sub-08,cornet-s,random_ranking,0.0
17,sub-08,cornet-s,shuffled_eeg_rows,0.0
17,sub-08,cornet-s,permuted_candidate_rows,0.005
17,sub-08,cornet-s,permuted_labels,0.01
17,sub-08,cornet-s,permuted_stimulus_ids,0.005
17,sub-08,cornet-s,permuted_category_names,0.005
17,sub-08,cornet-s,shuffled_training_pairs_seed_101,0.0
17,sub-08,cornet-s,shuffled_training_pairs_seed_211,0.005
17,sub-08,cornet-s,shuffled_training_pairs_seed_307,0.005
17,sub-08,dinov2,random_ranking,0.005
17,sub-08,dinov2,shuffled_eeg_rows,0.005
17,sub-08,dinov2,permuted_candidate_rows,0.0
17,sub-08,dinov2,permuted_labels,0.005
17,sub-08,dinov2,permuted_stimulus_ids,0.005
17,sub-08,dinov2,permuted_category_names,0.0
17,sub-08,dinov2,shuffled_training_pairs_seed_101,0.0
17,sub-08,dinov2,shuffled_training_pairs_seed_211,0.0
17,sub-08,dinov2,shuffled_training_pairs_seed_307,0.01
17,sub-09,cornet-s,random_ranking,0.01
17,sub-09,cornet-s,shuffled_eeg_rows,0.005
17,sub-09,cornet-s,permuted_candidate_rows,0.0
17,sub-09,cornet-s,permuted_labels,0.005
17,sub-09,cornet-s,permuted_stimulus_ids,0.0
17,sub-09,cornet-s,permuted_category_names,0.0
17,sub-09,cornet-s,shuffled_training_pairs_seed_101,0.01
17,sub-09,cornet-s,shuffled_training_pairs_seed_211,0.005
17,sub-09,cornet-s,shuffled_training_pairs_seed_307,0.01
17,sub-09,dinov2,random_ranking,0.0
17,sub-09,dinov2,shuffled_eeg_rows,0.0
17,sub-09,dinov2,permuted_candidate_rows,0.005
17,sub-09,dinov2,permuted_labels,0.01
17,sub-09,dinov2,permuted_stimulus_ids,0.01
17,sub-09,dinov2,permuted_category_names,0.005
17,sub-09,dinov2,shuffled_training_pairs_seed_101,0.0
17,sub-09,dinov2,shuffled_training_pairs_seed_211,0.0
17,sub-09,dinov2,shuffled_training_pairs_seed_307,0.0
17,sub-10,cornet-s,random_ranking,0.0
17,sub-10,cornet-s,shuffled_eeg_rows,0.0
17,sub-10,cornet-s,permuted_candidate_rows,0.015
17,sub-10,cornet-s,permuted_labels,0.0
17,sub-10,cornet-s,permuted_stimulus_ids,0.005
17,sub-10,cornet-s,permuted_category_names,0.0
17,sub-10,cornet-s,shuffled_training_pairs_seed_101,0.005
17,sub-10,cornet-s,shuffled_training_pairs_seed_211,0.005
17,sub-10,cornet-s,shuffled_training_pairs_seed_307,0.0
17,sub-10,dinov2,random_ranking,0.01
17,sub-10,dinov2,shuffled_eeg_rows,0.0
17,sub-10,dinov2,permuted_candidate_rows,0.0
17,sub-10,dinov2,permuted_labels,0.0
17,sub-10,dinov2,permuted_stimulus_ids,0.005
17,sub-10,dinov2,permuted_category_names,0.0
17,sub-10,dinov2,shuffled_training_pairs_seed_101,0.005
17,sub-10,dinov2,shuffled_training_pairs_seed_211,0.0
17,sub-10,dinov2,shuffled_training_pairs_seed_307,0.01
29,sub-01,cornet-s,random_ranking,0.015
29,sub-01,cornet-s,shuffled_eeg_rows,0.005
29,sub-01,cornet-s,permuted_candidate_rows,0.02
29,sub-01,cornet-s,permuted_labels,0.005
29,sub-01,cornet-s,permuted_stimulus_ids,0.005
29,sub-01,cornet-s,permuted_category_names,0.015
29,sub-01,cornet-s,shuffled_training_pairs_seed_101,0.01
29,sub-01,cornet-s,shuffled_training_pairs_seed_211,0.005
29,sub-01,cornet-s,shuffled_training_pairs_seed_307,0.005
29,sub-01,dinov2,random_ranking,0.01
29,sub-01,dinov2,shuffled_eeg_rows,0.005
29,sub-01,dinov2,permuted_candidate_rows,0.005
29,sub-01,dinov2,permuted_labels,0.005
29,sub-01,dinov2,permuted_stimulus_ids,0.0
29,sub-01,dinov2,permuted_category_names,0.005
29,sub-01,dinov2,shuffled_training_pairs_seed_101,0.01
29,sub-01,dinov2,shuffled_training_pairs_seed_211,0.0
29,sub-01,dinov2,shuffled_training_pairs_seed_307,0.0
29,sub-02,cornet-s,random_ranking,0.01
29,sub-02,cornet-s,shuffled_eeg_rows,0.0
29,sub-02,cornet-s,permuted_candidate_rows,0.0
29,sub-02,cornet-s,permuted_labels,0.005
29,sub-02,cornet-s,permuted_stimulus_ids,0.01
29,sub-02,cornet-s,permuted_category_names,0.01
29,sub-02,cornet-s,shuffled_training_pairs_seed_101,0.015
29,sub-02,cornet-s,shuffled_training_pairs_seed_211,0.01
29,sub-02,cornet-s,shuffled_training_pairs_seed_307,0.0
29,sub-02,dinov2,random_ranking,0.0
29,sub-02,dinov2,shuffled_eeg_rows,0.005
29,sub-02,dinov2,permuted_candidate_rows,0.0
29,sub-02,dinov2,permuted_labels,0.0
29,sub-02,dinov2,permuted_stimulus_ids,0.005
29,sub-02,dinov2,permuted_category_names,0.01
29,sub-02,dinov2,shuffled_training_pairs_seed_101,0.005
29,sub-02,dinov2,shuffled_training_pairs_seed_211,0.01
29,sub-02,dinov2,shuffled_training_pairs_seed_307,0.0
29,sub-03,cornet-s,random_ranking,0.005
29,sub-03,cornet-s,shuffled_eeg_rows,0.0
29,sub-03,cornet-s,permuted_candidate_rows,0.0
29,sub-03,cornet-s,permuted_labels,0.01
29,sub-03,cornet-s,permuted_stimulus_ids,0.0
29,sub-03,cornet-s,permuted_category_names,0.0
29,sub-03,cornet-s,shuffled_training_pairs_seed_101,0.015
29,sub-03,cornet-s,shuffled_training_pairs_seed_211,0.005
29,sub-03,cornet-s,shuffled_training_pairs_seed_307,0.005
29,sub-03,dinov2,random_ranking,0.0
29,sub-03,dinov2,shuffled_eeg_rows,0.005
29,sub-03,dinov2,permuted_candidate_rows,0.0
29,sub-03,dinov2,permuted_labels,0.005
29,sub-03,dinov2,permuted_stimulus_ids,0.005
29,sub-03,dinov2,permuted_category_names,0.0
29,sub-03,dinov2,shuffled_training_pairs_seed_101,0.0
29,sub-03,dinov2,shuffled_training_pairs_seed_211,0.0
29,sub-03,dinov2,shuffled_training_pairs_seed_307,0.0
29,sub-04,cornet-s,random_ranking,0.0
29,sub-04,cornet-s,shuffled_eeg_rows,0.0
29,sub-04,cornet-s,permuted_candidate_rows,0.005
29,sub-04,cornet-s,permuted_labels,0.01
29,sub-04,cornet-s,permuted_stimulus_ids,0.005
29,sub-04,cornet-s,permuted_category_names,0.005
29,sub-04,cornet-s,shuffled_training_pairs_seed_101,0.0
29,sub-04,cornet-s,shuffled_training_pairs_seed_211,0.005
29,sub-04,cornet-s,shuffled_training_pairs_seed_307,0.01
29,sub-04,dinov2,random_ranking,0.0
29,sub-04,dinov2,shuffled_eeg_rows,0.0
29,sub-04,dinov2,permuted_candidate_rows,0.0
29,sub-04,dinov2,permuted_labels,0.0
29,sub-04,dinov2,permuted_stimulus_ids,0.005
29,sub-04,dinov2,permuted_category_names,0.0
29,sub-04,dinov2,shuffled_training_pairs_seed_101,0.0
29,sub-04,dinov2,shuffled_training_pairs_seed_211,0.005
29,sub-04,dinov2,shuffled_training_pairs_seed_307,0.01
29,sub-05,cornet-s,random_ranking,0.015
29,sub-05,cornet-s,shuffled_eeg_rows,0.0
29,sub-05,cornet-s,permuted_candidate_rows,0.01
29,sub-05,cornet-s,permuted_labels,0.005
29,sub-05,cornet-s,permuted_stimulus_ids,0.0
29,sub-05,cornet-s,permuted_category_names,0.01
29,sub-05,cornet-s,shuffled_training_pairs_seed_101,0.005
29,sub-05,cornet-s,shuffled_training_pairs_seed_211,0.015
29,sub-05,cornet-s,shuffled_training_pairs_seed_307,0.0
29,sub-05,dinov2,random_ranking,0.01
29,sub-05,dinov2,shuffled_eeg_rows,0.0
29,sub-05,dinov2,permuted_candidate_rows,0.01
29,sub-05,dinov2,permuted_labels,0.01
29,sub-05,dinov2,permuted_stimulus_ids,0.015
29,sub-05,dinov2,permuted_category_names,0.005
29,sub-05,dinov2,shuffled_training_pairs_seed_101,0.01
29,sub-05,dinov2,shuffled_training_pairs_seed_211,0.015
29,sub-05,dinov2,shuffled_training_pairs_seed_307,0.01
29,sub-06,cornet-s,random_ranking,0.005
29,sub-06,cornet-s,shuffled_eeg_rows,0.01
29,sub-06,cornet-s,permuted_candidate_rows,0.0
29,sub-06,cornet-s,permuted_labels,0.0
29,sub-06,cornet-s,permuted_stimulus_ids,0.005
29,sub-06,cornet-s,permuted_category_names,0.0
29,sub-06,cornet-s,shuffled_training_pairs_seed_101,0.0
29,sub-06,cornet-s,shuffled_training_pairs_seed_211,0.0
29,sub-06,cornet-s,shuffled_training_pairs_seed_307,0.005
29,sub-06,dinov2,random_ranking,0.01
29,sub-06,dinov2,shuffled_eeg_rows,0.0
29,sub-06,dinov2,permuted_candidate_rows,0.015
29,sub-06,dinov2,permuted_labels,0.0
29,sub-06,dinov2,permuted_stimulus_ids,0.005
29,sub-06,dinov2,permuted_category_names,0.0
29,sub-06,dinov2,shuffled_training_pairs_seed_101,0.01
29,sub-06,dinov2,shuffled_training_pairs_seed_211,0.005
29,sub-06,dinov2,shuffled_training_pairs_seed_307,0.005
29,sub-07,cornet-s,random_ranking,0.0
29,sub-07,cornet-s,shuffled_eeg_rows,0.005
29,sub-07,cornet-s,permuted_candidate_rows,0.005
29,sub-07,cornet-s,permuted_labels,0.005
29,sub-07,cornet-s,permuted_stimulus_ids,0.0
29,sub-07,cornet-s,permuted_category_names,0.015
29,sub-07,cornet-s,shuffled_training_pairs_seed_101,0.005
29,sub-07,cornet-s,shuffled_training_pairs_seed_211,0.01
29,sub-07,cornet-s,shuffled_training_pairs_seed_307,0.015
29,sub-07,dinov2,random_ranking,0.0
29,sub-07,dinov2,shuffled_eeg_rows,0.015
29,sub-07,dinov2,permuted_candidate_rows,0.005
29,sub-07,dinov2,permuted_labels,0.01
29,sub-07,dinov2,permuted_stimulus_ids,0.01
29,sub-07,dinov2,permuted_category_names,0.005
29,sub-07,dinov2,shuffled_training_pairs_seed_101,0.025
29,sub-07,dinov2,shuffled_training_pairs_seed_211,0.0
29,sub-07,dinov2,shuffled_training_pairs_seed_307,0.0
29,sub-08,cornet-s,random_ranking,0.0
29,sub-08,cornet-s,shuffled_eeg_rows,0.0
29,sub-08,cornet-s,permuted_candidate_rows,0.005
29,sub-08,cornet-s,permuted_labels,0.01
29,sub-08,cornet-s,permuted_stimulus_ids,0.005
29,sub-08,cornet-s,permuted_category_names,0.005
29,sub-08,cornet-s,shuffled_training_pairs_seed_101,0.0
29,sub-08,cornet-s,shuffled_training_pairs_seed_211,0.005
29,sub-08,cornet-s,shuffled_training_pairs_seed_307,0.005
29,sub-08,dinov2,random_ranking,0.005
29,sub-08,dinov2,shuffled_eeg_rows,0.005
29,sub-08,dinov2,permuted_candidate_rows,0.0
29,sub-08,dinov2,permuted_labels,0.005
29,sub-08,dinov2,permuted_stimulus_ids,0.0
29,sub-08,dinov2,permuted_category_names,0.0
29,sub-08,dinov2,shuffled_training_pairs_seed_101,0.0
29,sub-08,dinov2,shuffled_training_pairs_seed_211,0.015
29,sub-08,dinov2,shuffled_training_pairs_seed_307,0.01
29,sub-09,cornet-s,random_ranking,0.01
29,sub-09,cornet-s,shuffled_eeg_rows,0.005
29,sub-09,cornet-s,permuted_candidate_rows,0.0
29,sub-09,cornet-s,permuted_labels,0.005
29,sub-09,cornet-s,permuted_stimulus_ids,0.0
29,sub-09,cornet-s,permuted_category_names,0.0
29,sub-09,cornet-s,shuffled_training_pairs_seed_101,0.01
29,sub-09,cornet-s,shuffled_training_pairs_seed_211,0.005
29,sub-09,cornet-s,shuffled_training_pairs_seed_307,0.01
29,sub-09,dinov2,random_ranking,0.0
29,sub-09,dinov2,shuffled_eeg_rows,0.01
29,sub-09,dinov2,permuted_candidate_rows,0.005
29,sub-09,dinov2,permuted_labels,0.005
29,sub-09,dinov2,permuted_stimulus_ids,0.005
29,sub-09,dinov2,permuted_category_names,0.0
29,sub-09,dinov2,shuffled_training_pairs_seed_101,0.01
29,sub-09,dinov2,shuffled_training_pairs_seed_211,0.005
29,sub-09,dinov2,shuffled_training_pairs_seed_307,0.01
29,sub-10,cornet-s,random_ranking,0.0
29,sub-10,cornet-s,shuffled_eeg_rows,0.0
29,sub-10,cornet-s,permuted_candidate_rows,0.015
29,sub-10,cornet-s,permuted_labels,0.0
29,sub-10,cornet-s,permuted_stimulus_ids,0.005
29,sub-10,cornet-s,permuted_category_names,0.0
29,sub-10,cornet-s,shuffled_training_pairs_seed_101,0.005
29,sub-10,cornet-s,shuffled_training_pairs_seed_211,0.0
29,sub-10,cornet-s,shuffled_training_pairs_seed_307,0.0
29,sub-10,dinov2,random_ranking,0.01
29,sub-10,dinov2,shuffled_eeg_rows,0.005
29,sub-10,dinov2,permuted_candidate_rows,0.005
29,sub-10,dinov2,permuted_labels,0.005
29,sub-10,dinov2,permuted_stimulus_ids,0.0
29,sub-10,dinov2,permuted_category_names,0.005
29,sub-10,dinov2,shuffled_training_pairs_seed_101,0.0
29,sub-10,dinov2,shuffled_training_pairs_seed_211,0.005
29,sub-10,dinov2,shuffled_training_pairs_seed_307,0.0
43,sub-01,cornet-s,random_ranking,0.015
43,sub-01,cornet-s,shuffled_eeg_rows,0.005
43,sub-01,cornet-s,permuted_candidate_rows,0.02
43,sub-01,cornet-s,permuted_labels,0.005
43,sub-01,cornet-s,permuted_stimulus_ids,0.0
43,sub-01,cornet-s,permuted_category_names,0.01
43,sub-01,cornet-s,shuffled_training_pairs_seed_101,0.01
43,sub-01,cornet-s,shuffled_training_pairs_seed_211,0.005
43,sub-01,cornet-s,shuffled_training_pairs_seed_307,0.01
43,sub-01,dinov2,random_ranking,0.01
43,sub-01,dinov2,shuffled_eeg_rows,0.0
43,sub-01,dinov2,permuted_candidate_rows,0.0
43,sub-01,dinov2,permuted_labels,0.0
43,sub-01,dinov2,permuted_stimulus_ids,0.0
43,sub-01,dinov2,permuted_category_names,0.01
43,sub-01,dinov2,shuffled_training_pairs_seed_101,0.01
43,sub-01,dinov2,shuffled_training_pairs_seed_211,0.005
43,sub-01,dinov2,shuffled_training_pairs_seed_307,0.01
43,sub-02,cornet-s,random_ranking,0.01
43,sub-02,cornet-s,shuffled_eeg_rows,0.0
43,sub-02,cornet-s,permuted_candidate_rows,0.0
43,sub-02,cornet-s,permuted_labels,0.005
43,sub-02,cornet-s,permuted_stimulus_ids,0.01
43,sub-02,cornet-s,permuted_category_names,0.01
43,sub-02,cornet-s,shuffled_training_pairs_seed_101,0.015
43,sub-02,cornet-s,shuffled_training_pairs_seed_211,0.01
43,sub-02,cornet-s,shuffled_training_pairs_seed_307,0.0
43,sub-02,dinov2,random_ranking,0.0
43,sub-02,dinov2,shuffled_eeg_rows,0.0
43,sub-02,dinov2,permuted_candidate_rows,0.0
43,sub-02,dinov2,permuted_labels,0.0
43,sub-02,dinov2,permuted_stimulus_ids,0.005
43,sub-02,dinov2,permuted_category_names,0.0
43,sub-02,dinov2,shuffled_training_pairs_seed_101,0.005
43,sub-02,dinov2,shuffled_training_pairs_seed_211,0.0
43,sub-02,dinov2,shuffled_training_pairs_seed_307,0.0
43,sub-03,cornet-s,random_ranking,0.005
43,sub-03,cornet-s,shuffled_eeg_rows,0.0
43,sub-03,cornet-s,permuted_candidate_rows,0.0
43,sub-03,cornet-s,permuted_labels,0.01
43,sub-03,cornet-s,permuted_stimulus_ids,0.0
43,sub-03,cornet-s,permuted_category_names,0.0
43,sub-03,cornet-s,shuffled_training_pairs_seed_101,0.015
43,sub-03,cornet-s,shuffled_training_pairs_seed_211,0.005
43,sub-03,cornet-s,shuffled_training_pairs_seed_307,0.005
43,sub-03,dinov2,random_ranking,0.0
43,sub-03,dinov2,shuffled_eeg_rows,0.005
43,sub-03,dinov2,permuted_candidate_rows,0.005
43,sub-03,dinov2,permuted_labels,0.005
43,sub-03,dinov2,permuted_stimulus_ids,0.005
43,sub-03,dinov2,permuted_category_names,0.0
43,sub-03,dinov2,shuffled_training_pairs_seed_101,0.005
43,sub-03,dinov2,shuffled_training_pairs_seed_211,0.005
43,sub-03,dinov2,shuffled_training_pairs_seed_307,0.0
43,sub-04,cornet-s,random_ranking,0.0
43,sub-04,cornet-s,shuffled_eeg_rows,0.0
43,sub-04,cornet-s,permuted_candidate_rows,0.0
43,sub-04,cornet-s,permuted_labels,0.015
43,sub-04,cornet-s,permuted_stimulus_ids,0.01
43,sub-04,cornet-s,permuted_category_names,0.0
43,sub-04,cornet-s,shuffled_training_pairs_seed_101,0.005
43,sub-04,cornet-s,shuffled_training_pairs_seed_211,0.0
43,sub-04,cornet-s,shuffled_training_pairs_seed_307,0.0
43,sub-04,dinov2,random_ranking,0.0
43,sub-04,dinov2,shuffled_eeg_rows,0.01
43,sub-04,dinov2,permuted_candidate_rows,0.005
43,sub-04,dinov2,permuted_labels,0.0
43,sub-04,dinov2,permuted_stimulus_ids,0.005
43,sub-04,dinov2,permuted_category_names,0.0
43,sub-04,dinov2,shuffled_training_pairs_seed_101,0.005
43,sub-04,dinov2,shuffled_training_pairs_seed_211,0.0
43,sub-04,dinov2,shuffled_training_pairs_seed_307,0.0
43,sub-05,cornet-s,random_ranking,0.015
43,sub-05,cornet-s,shuffled_eeg_rows,0.0
43,sub-05,cornet-s,permuted_candidate_rows,0.015
43,sub-05,cornet-s,permuted_labels,0.0
43,sub-05,cornet-s,permuted_stimulus_ids,0.0
43,sub-05,cornet-s,permuted_category_names,0.005
43,sub-05,cornet-s,shuffled_training_pairs_seed_101,0.0
43,sub-05,cornet-s,shuffled_training_pairs_seed_211,0.015
43,sub-05,cornet-s,shuffled_training_pairs_seed_307,0.0
43,sub-05,dinov2,random_ranking,0.01
43,sub-05,dinov2,shuffled_eeg_rows,0.005
43,sub-05,dinov2,permuted_candidate_rows,0.005
43,sub-05,dinov2,permuted_labels,0.0
43,sub-05,dinov2,permuted_stimulus_ids,0.0
43,sub-05,dinov2,permuted_category_names,0.01
43,sub-05,dinov2,shuffled_training_pairs_seed_101,0.005
43,sub-05,dinov2,shuffled_training_pairs_seed_211,0.005
43,sub-05,dinov2,shuffled_training_pairs_seed_307,0.005
43,sub-06,cornet-s,random_ranking,0.005
43,sub-06,cornet-s,shuffled_eeg_rows,0.01
43,sub-06,cornet-s,permuted_candidate_rows,0.0
43,sub-06,cornet-s,permuted_labels,0.0
43,sub-06,cornet-s,permuted_stimulus_ids,0.005
43,sub-06,cornet-s,permuted_category_names,0.0
43,sub-06,cornet-s,shuffled_training_pairs_seed_101,0.0
43,sub-06,cornet-s,shuffled_training_pairs_seed_211,0.0
43,sub-06,cornet-s,shuffled_training_pairs_seed_307,0.005
43,sub-06,dinov2,random_ranking,0.01
43,sub-06,dinov2,shuffled_eeg_rows,0.0
43,sub-06,dinov2,permuted_candidate_rows,0.005
43,sub-06,dinov2,permuted_labels,0.005
43,sub-06,dinov2,permuted_stimulus_ids,0.0
43,sub-06,dinov2,permuted_category_names,0.005
43,sub-06,dinov2,shuffled_training_pairs_seed_101,0.005
43,sub-06,dinov2,shuffled_training_pairs_seed_211,0.0
43,sub-06,dinov2,shuffled_training_pairs_seed_307,0.0
43,sub-07,cornet-s,random_ranking,0.0
43,sub-07,cornet-s,shuffled_eeg_rows,0.005
43,sub-07,cornet-s,permuted_candidate_rows,0.005
43,sub-07,cornet-s,permuted_labels,0.005
43,sub-07,cornet-s,permuted_stimulus_ids,0.0
43,sub-07,cornet-s,permuted_category_names,0.02
43,sub-07,cornet-s,shuffled_training_pairs_seed_101,0.005
43,sub-07,cornet-s,shuffled_training_pairs_seed_211,0.01
43,sub-07,cornet-s,shuffled_training_pairs_seed_307,0.02
43,sub-07,dinov2,random_ranking,0.0
43,sub-07,dinov2,shuffled_eeg_rows,0.005
43,sub-07,dinov2,permuted_candidate_rows,0.005
43,sub-07,dinov2,permuted_labels,0.0
43,sub-07,dinov2,permuted_stimulus_ids,0.0
43,sub-07,dinov2,permuted_category_names,0.005
43,sub-07,dinov2,shuffled_training_pairs_seed_101,0.005
43,sub-07,dinov2,shuffled_training_pairs_seed_211,0.0
43,sub-07,dinov2,shuffled_training_pairs_seed_307,0.02
43,sub-08,cornet-s,random_ranking,0.0
43,sub-08,cornet-s,shuffled_eeg_rows,0.0
43,sub-08,cornet-s,permuted_candidate_rows,0.005
43,sub-08,cornet-s,permuted_labels,0.005
43,sub-08,cornet-s,permuted_stimulus_ids,0.01
43,sub-08,cornet-s,permuted_category_names,0.005
43,sub-08,cornet-s,shuffled_training_pairs_seed_101,0.005
43,sub-08,cornet-s,shuffled_training_pairs_seed_211,0.005
43,sub-08,cornet-s,shuffled_training_pairs_seed_307,0.0
43,sub-08,dinov2,random_ranking,0.005
43,sub-08,dinov2,shuffled_eeg_rows,0.005
