seed,participant,semantic_source,samples,classes,trials_per_class_min,trials_per_class_max,dimensions,constant_fraction,total_variance,norm_mean,norm_sd,common_direction_energy,effective_rank,within_class_cosine,between_class_cosine,standardized_separation,nearest_prototype_accuracy,prototype_margin_mean,prototype_hubness_skew
17,sub-06,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
17,sub-06,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.5820473305748224,1.0000000001505573,7.898001082362277e-09,0.4179878598864378,25.513403518099377,0.6606177211019538,0.4181612457655671,1.1277083379893724,0.43476420798065296,-0.02660756908283401,1.720072577481675
17,sub-07,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
17,sub-07,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.5820473305748224,1.0000000001505573,7.898001082362277e-09,0.4179878598864378,25.513403518099377,0.6606177211019538,0.4181612457655671,1.1277083379893724,0.43476420798065296,-0.02660756908283401,1.720072577481675
17,sub-08,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
17,sub-08,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.5820473305748224,1.0000000001505573,7.898001082362277e-09,0.4179878598864378,25.513403518099377,0.6606177211019538,0.4181612457655671,1.1277083379893724,0.43476420798065296,-0.02660756908283401,1.720072577481675
17,sub-09,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
17,sub-09,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.5820473305748224,1.0000000001505573,7.898001082362277e-09,0.4179878598864378,25.513403518099377,0.6606177211019538,0.4181612457655671,1.1277083379893724,0.43476420798065296,-0.02660756908283401,1.720072577481675
17,sub-10,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
17,sub-10,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.5820473305748224,1.0000000001505573,7.898001082362277e-09,0.4179878598864378,25.513403518099377,0.6606177211019538,0.4181612457655671,1.1277083379893724,0.43476420798065296,-0.02660756908283401,1.720072577481675
29,sub-01,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
29,sub-01,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.9879216313988823,0.999999999987626,1.5952155806841193e-09,0.012138097816779303,536.7405187531144,0.537740686159016,0.011768476208686264,2.978872465787473,0.9495767835550182,0.28160951916258853,0.01884325188004195
29,sub-02,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
29,sub-02,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.9879216313988823,0.999999999987626,1.5952155806841193e-09,0.012138097816779303,536.7405187531144,0.537740686159016,0.011768476208686264,2.978872465787473,0.9495767835550182,0.28160951916258853,0.01884325188004195
29,sub-03,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
29,sub-03,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.9879216313988823,0.999999999987626,1.5952155806841193e-09,0.012138097816779303,536.7405187531144,0.537740686159016,0.011768476208686264,2.978872465787473,0.9495767835550182,0.28160951916258853,0.01884325188004195
29,sub-04,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
29,sub-04,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.9879216313988823,0.999999999987626,1.5952155806841193e-09,0.012138097816779303,536.7405187531144,0.537740686159016,0.011768476208686264,2.978872465787473,0.9495767835550182,0.28160951916258853,0.01884325188004195
29,sub-05,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
29,sub-05,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.9879216313988823,0.999999999987626,1.5952155806841193e-09,0.012138097816779303,536.7405187531144,0.537740686159016,0.011768476208686264,2.978872465787473,0.9495767835550182,0.28160951916258853,0.01884325188004195
29,sub-06,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
29,sub-06,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.9879216313988823,0.999999999987626,1.5952155806841193e-09,0.012138097816779303,536.7405187531144,0.537740686159016,0.011768476208686264,2.978872465787473,0.9495767835550182,0.28160951916258853,0.01884325188004195
29,sub-07,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
29,sub-07,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.9879216313988823,0.999999999987626,1.5952155806841193e-09,0.012138097816779303,536.7405187531144,0.537740686159016,0.011768476208686264,2.978872465787473,0.9495767835550182,0.28160951916258853,0.01884325188004195
29,sub-08,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
29,sub-08,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.9879216313988823,0.999999999987626,1.5952155806841193e-09,0.012138097816779303,536.7405187531144,0.537740686159016,0.011768476208686264,2.978872465787473,0.9495767835550182,0.28160951916258853,0.01884325188004195
29,sub-09,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
29,sub-09,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.9879216313988823,0.999999999987626,1.5952155806841193e-09,0.012138097816779303,536.7405187531144,0.537740686159016,0.011768476208686264,2.978872465787473,0.9495767835550182,0.28160951916258853,0.01884325188004195
29,sub-10,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
29,sub-10,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.9879216313988823,0.999999999987626,1.5952155806841193e-09,0.012138097816779303,536.7405187531144,0.537740686159016,0.011768476208686264,2.978872465787473,0.9495767835550182,0.28160951916258853,0.01884325188004195
43,sub-01,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
43,sub-01,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.5820473305748224,1.0000000001505573,7.898001082362277e-09,0.4179878598864378,25.513403518099377,0.6606177211019538,0.4181612457655671,1.1277083379893724,0.43476420798065296,-0.02660756908283401,1.720072577481675
43,sub-02,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
43,sub-02,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.5820473305748224,1.0000000001505573,7.898001082362277e-09,0.4179878598864378,25.513403518099377,0.6606177211019538,0.4181612457655671,1.1277083379893724,0.43476420798065296,-0.02660756908283401,1.720072577481675
43,sub-03,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
43,sub-03,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.5820473305748224,1.0000000001505573,7.898001082362277e-09,0.4179878598864378,25.513403518099377,0.6606177211019538,0.4181612457655671,1.1277083379893724,0.43476420798065296,-0.02660756908283401,1.720072577481675
43,sub-04,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
43,sub-04,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.5820473305748224,1.0000000001505573,7.898001082362277e-09,0.4179878598864378,25.513403518099377,0.6606177211019538,0.4181612457655671,1.1277083379893724,0.43476420798065296,-0.02660756908283401,1.720072577481675
43,sub-05,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
43,sub-05,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.5820473305748224,1.0000000001505573,7.898001082362277e-09,0.4179878598864378,25.513403518099377,0.6606177211019538,0.4181612457655671,1.1277083379893724,0.43476420798065296,-0.02660756908283401,1.720072577481675
43,sub-06,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
43,sub-06,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.5820473305748224,1.0000000001505573,7.898001082362277e-09,0.4179878598864378,25.513403518099377,0.6606177211019538,0.4181612457655671,1.1277083379893724,0.43476420798065296,-0.02660756908283401,1.720072577481675
43,sub-07,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
43,sub-07,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.5820473305748224,1.0000000001505573,7.898001082362277e-09,0.4179878598864378,25.513403518099377,0.6606177211019538,0.4181612457655671,1.1277083379893724,0.43476420798065296,-0.02660756908283401,1.720072577481675
43,sub-08,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
43,sub-08,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.5820473305748224,1.0000000001505573,7.898001082362277e-09,0.4179878598864378,25.513403518099377,0.6606177211019538,0.4181612457655671,1.1277083379893724,0.43476420798065296,-0.02660756908283401,1.720072577481675
43,sub-09,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
43,sub-09,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.5820473305748224,1.0000000001505573,7.898001082362277e-09,0.4179878598864378,25.513403518099377,0.6606177211019538,0.4181612457655671,1.1277083379893724,0.43476420798065296,-0.02660756908283401,1.720072577481675
43,sub-10,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
43,sub-10,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.5820473305748224,1.0000000001505573,7.898001082362277e-09,0.4179878598864378,25.513403518099377,0.6606177211019538,0.4181612457655671,1.1277083379893724,0.43476420798065296,-0.02660756908283401,1.720072577481675
71,sub-01,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
71,sub-01,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.9879216313988823,0.999999999987626,1.5952155806841193e-09,0.012138097816779303,536.7405187531144,0.537740686159016,0.011768476208686264,2.978872465787473,0.9495767835550182,0.28160951916258853,0.01884325188004195
71,sub-02,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
71,sub-02,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.9879216313988823,0.999999999987626,1.5952155806841193e-09,0.012138097816779303,536.7405187531144,0.537740686159016,0.011768476208686264,2.978872465787473,0.9495767835550182,0.28160951916258853,0.01884325188004195
71,sub-03,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
71,sub-03,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.9879216313988823,0.999999999987626,1.5952155806841193e-09,0.012138097816779303,536.7405187531144,0.537740686159016,0.011768476208686264,2.978872465787473,0.9495767835550182,0.28160951916258853,0.01884325188004195
71,sub-04,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
71,sub-04,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.9879216313988823,0.999999999987626,1.5952155806841193e-09,0.012138097816779303,536.7405187531144,0.537740686159016,0.011768476208686264,2.978872465787473,0.9495767835550182,0.28160951916258853,0.01884325188004195
71,sub-05,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
71,sub-05,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.9879216313988823,0.999999999987626,1.5952155806841193e-09,0.012138097816779303,536.7405187531144,0.537740686159016,0.011768476208686264,2.978872465787473,0.9495767835550182,0.28160951916258853,0.01884325188004195
71,sub-06,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
71,sub-06,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.9879216313988823,0.999999999987626,1.5952155806841193e-09,0.012138097816779303,536.7405187531144,0.537740686159016,0.011768476208686264,2.978872465787473,0.9495767835550182,0.28160951916258853,0.01884325188004195
71,sub-07,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
71,sub-07,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.9879216313988823,0.999999999987626,1.5952155806841193e-09,0.012138097816779303,536.7405187531144,0.537740686159016,0.011768476208686264,2.978872465787473,0.9495767835550182,0.28160951916258853,0.01884325188004195
71,sub-08,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
71,sub-08,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.9879216313988823,0.999999999987626,1.5952155806841193e-09,0.012138097816779303,536.7405187531144,0.537740686159016,0.011768476208686264,2.978872465787473,0.9495767835550182,0.28160951916258853,0.01884325188004195
71,sub-09,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
71,sub-09,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.9879216313988823,0.999999999987626,1.5952155806841193e-09,0.012138097816779303,536.7405187531144,0.537740686159016,0.011768476208686264,2.978872465787473,0.9495767835550182,0.28160951916258853,0.01884325188004195
71,sub-10,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
71,sub-10,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.9879216313988823,0.999999999987626,1.5952155806841193e-09,0.012138097816779303,536.7405187531144,0.537740686159016,0.011768476208686264,2.978872465787473,0.9495767835550182,0.28160951916258853,0.01884325188004195
101,sub-01,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
101,sub-01,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.9879216313988823,0.999999999987626,1.5952155806841193e-09,0.012138097816779303,536.7405187531144,0.537740686159016,0.011768476208686264,2.978872465787473,0.9495767835550182,0.28160951916258853,0.01884325188004195
101,sub-02,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
101,sub-02,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.9879216313988823,0.999999999987626,1.5952155806841193e-09,0.012138097816779303,536.7405187531144,0.537740686159016,0.011768476208686264,2.978872465787473,0.9495767835550182,0.28160951916258853,0.01884325188004195
101,sub-03,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
101,sub-03,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.9879216313988823,0.999999999987626,1.5952155806841193e-09,0.012138097816779303,536.7405187531144,0.537740686159016,0.011768476208686264,2.978872465787473,0.9495767835550182,0.28160951916258853,0.01884325188004195
101,sub-04,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
101,sub-04,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.9879216313988823,0.999999999987626,1.5952155806841193e-09,0.012138097816779303,536.7405187531144,0.537740686159016,0.011768476208686264,2.978872465787473,0.9495767835550182,0.28160951916258853,0.01884325188004195
101,sub-05,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
101,sub-05,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.9879216313988823,0.999999999987626,1.5952155806841193e-09,0.012138097816779303,536.7405187531144,0.537740686159016,0.011768476208686264,2.978872465787473,0.9495767835550182,0.28160951916258853,0.01884325188004195
101,sub-06,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
101,sub-06,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.9879216313988823,0.999999999987626,1.5952155806841193e-09,0.012138097816779303,536.7405187531144,0.537740686159016,0.011768476208686264,2.978872465787473,0.9495767835550182,0.28160951916258853,0.01884325188004195
101,sub-07,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
101,sub-07,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.9879216313988823,0.999999999987626,1.5952155806841193e-09,0.012138097816779303,536.7405187531144,0.537740686159016,0.011768476208686264,2.978872465787473,0.9495767835550182,0.28160951916258853,0.01884325188004195
101,sub-08,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
101,sub-08,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.9879216313988823,0.999999999987626,1.5952155806841193e-09,0.012138097816779303,536.7405187531144,0.537740686159016,0.011768476208686264,2.978872465787473,0.9495767835550182,0.28160951916258853,0.01884325188004195
101,sub-09,cornet-s,16540.0,1654.0,10.0,10.0,100.0,0.0,0.9997666093626089,1.0000000000978173,9.469693251460183e-09,0.0002938362144280851,36.655464655737276,0.5526960995782434,-0.001370551560544511,2.2760335990429015,0.7695888754534462,0.052250066947222625,2.9052057380374343
101,sub-09,dinov2,16540.0,1654.0,10.0,10.0,768.0,0.0,0.9879216313988823,0.999999999987626,1.5952155806841193e-09,0.012138097816779303,536.7405187531144,0.537740686159016,0.011768476208686264,2.978872465787473,0.9495767835550182,0.28160951916258853,0.01884325188004195
